Timeframe,DAIRY PRODUCT TOTALS,"FIELD CROPS, OTHER",FOOD FISH,FRUIT & TREE NUT TOTALS,HORTICULTURE TOTALS,LIVESTOCK TOTALS,POULTRY TOTALS,VEGETABLE TOTALS
2010-06-01,76.5,94.7,,85.2,,81.9,100.9,96.9
2010-07-01,79.0,94.7,,88.4,,82.8,103.4,95.3
2010-08-01,82.9,94.7,,90.9,,85.0,101.1,96.2
2010-09-01,87.9,96.7,,92.1,,85.0,98.1,94.6
2010-10-01,91.9,98.8,,96.8,,81.9,101.5,90.7
2010-11-01,88.9,98.8,,102.8,,80.8,108.9,116.9
2010-12-01,82.9,98.8,,89.3,,84.2,101.6,98.6
2011-01-01,82.9,87.8,,102.8,,92.3,92.7,105.9
2011-02-01,94.8,92.3,,93.2,,95.1,93.4,134.5
2011-03-01,101.3,90.1,,95.2,,100.4,99.2,122.8
2011-04-01,97.3,95.3,,96.4,,104.7,104.2,100.8
2011-05-01,97.3,100.8,,98.6,,100.2,101.6,104.2
2011-06-01,104.8,101.4,,97.9,,97.2,103.1,103.0
2011-07-01,108.2,104.5,,103.8,,100.6,99.6,101.4
2011-08-01,109.7,106.4,,103.6,,101.7,105.2,82.2
2011-09-01,104.8,106.5,,99.5,,99.5,95.8,81.3
2011-10-01,99.3,107.3,,100.5,,103.6,96.6,77.3
2011-11-01,101.8,104.5,,102.1,,104.3,102.7,95.7
2011-12-01,97.8,102.9,,106.2,,100.3,105.9,90.8
2012-01-01,94.0,103.1,,106.0,,104.1,99.5,78.9
2012-02-01,87.6,105.7,,100.8,,106.4,105.4,77.5
2012-03-01,85.6,106.0,,104.0,,107.6,115.6,83.4
2012-04-01,83.6,107.4,,106.7,,104.0,105.1,90.9
2012-05-01,80.6,106.7,,109.3,,103.4,107.3,97.7
2012-06-01,80.6,104.2,,111.6,,105.1,106.1,99.4
2012-07-01,84.1,103.4,,108.0,,102.2,102.5,94.9
2012-08-01,90.5,102.1,,113.9,,101.8,107.2,93.0
2012-09-01,98.0,108.3,,120.5,,100.1,109.4,92.8
2012-10-01,107.5,102.0,,125.9,,103.4,107.4,90.2
2012-11-01,110.0,96.3,,126.0,,103.8,120.3,101.4
2012-12-01,103.5,96.5,,115.2,,103.9,122.3,86.6
2013-01-01,99.5,96.8,,107.2,,105.3,124.5,125.5
2013-02-01,97.0,100.7,,106.3,,104.4,122.7,108.6
2013-03-01,95.0,102.7,,107.0,,103.3,132.2,113.7
2013-04-01,97.0,102.2,,101.5,,104.2,126.9,98.6
2013-05-01,98.0,104.7,,108.8,,107.6,135.9,97.2
2013-06-01,97.0,108.6,,115.3,,107.1,129.4,97.6
2013-07-01,95.0,105.2,,112.1,,106.6,121.7,103.7
2013-08-01,97.5,102.5,,120.3,,107.1,113.9,104.7
2013-09-01,100.0,102.5,,123.3,,107.6,114.7,91.2
2013-10-01,104.0,97.3,,125.6,,109.9,112.6,99.2
2013-11-01,107.5,92.5,,127.4,,109.7,121.7,96.2
2013-12-01,109.5,92.6,,123.4,,108.0,124.2,93.7
2014-01-01,116.9,91.8,,127.5,,114.2,118.6,92.2
2014-02-01,123.4,91.9,,130.8,,119.4,122.2,98.0
2014-03-01,124.9,92.6,,130.0,,128.3,133.5,97.8
2014-04-01,125.9,95.8,,127.7,,131.1,138.9,102.0
2014-05-01,120.4,99.9,,129.6,,127.7,144.7,106.0
2014-06-01,115.4,104.3,,137.7,,129.3,138.7,116.2
2014-07-01,115.9,103.5,,135.6,,138.0,136.2,104.0
2014-08-01,120.4,97.4,,138.1,,136.8,124.5,99.1
2014-09-01,127.9,98.9,,137.7,,134.2,132.8,93.5
2014-10-01,123.9,92.3,,137.7,,140.3,134.0,96.2
2014-11-01,114.4,84.9,,143.0,,139.5,139.0,113.3
2014-12-01,101.5,82.7,,132.0,,133.6,136.5,95.3
2015-01-01,87.1,80.1,,135.0,,131.4,126.3,110.5
2015-02-01,84.1,79.3,,134.5,,125.1,118.9,83.2
2015-03-01,82.6,82.7,,137.2,,126.7,132.1,91.3
2015-04-01,82.6,84.9,,135.1,,127.4,129.2,101.3
2015-05-01,83.6,89.0,,145.4,,130.1,146.3,98.6
2015-06-01,84.1,90.0,,144.7,,126.9,148.5,107.6
2015-07-01,82.6,88.9,,136.1,,122.3,131.5,103.9
2015-08-01,83.6,84.0,,132.1,,122.6,136.6,106.2
2015-09-01,87.6,88.4,,132.4,,113.9,120.5,113.4
2015-10-01,88.1,82.4,,134.6,,108.9,108.5,109.6
2015-11-01,91.0,78.4,,142.2,,104.4,123.1,131.3
2015-12-01,86.1,79.7,,133.5,,95.9,111.6,139.6
2016-01-01,80.1,76.7,,134.6,,102.8,112.8,134.2
2016-02-01,78.1,75.1,,135.7,,106.1,104.8,104.2
2016-03-01,76.1,74.9,,127.3,,108.6,104.9,97.2
2016-04-01,75.1,76.6,,125.0,,105.7,102.8,98.7
2016-05-01,72.1,77.9,,123.6,,106.0,107.0,113.1
2016-06-01,73.6,79.5,,127.5,,104.8,109.1,108.0
2016-07-01,80.1,81.3,,132.4,,100.2,102.7,104.3
2016-08-01,85.6,82.1,,126.5,,97.2,92.7,88.8
2016-09-01,86.6,82.0,,126.8,,88.9,89.0,89.7
2016-10-01,83.1,79.7,,128.8,,82.4,79.9,88.8
2016-11-01,88.6,78.2,,133.0,,83.6,90.5,95.5
2016-12-01,94.0,79.2,,124.4,,88.4,110.3,95.5
2017-01-01,94.0,77.6,,118.3,,96.0,99.4,98.6
2017-02-01,91.5,75.4,,118.6,,99.2,92.2,116.3
2017-03-01,86.1,76.3,,118.0,,103.0,106.4,122.5
2017-04-01,82.1,78.6,,113.7,,103.9,104.2,156.7
2017-05-01,83.1,80.6,,125.8,,111.4,116.0,110.8
2017-06-01,86.1,82.6,,127.5,,110.8,116.3,106.9
2017-07-01,85.6,84.2,,130.5,,104.0,116.5,101.1
2017-08-01,90.0,83.2,,131.1,,98.8,103.7,94.2
2017-09-01,89.1,86.8,,135.4,,90.0,109.4,104.1
2017-10-01,90.0,84.7,,132.3,,93.0,99.6,117.1
2017-11-01,90.5,81.8,,133.3,,99.7,114.6,106.0
2017-12-01,85.6,83.5,,133.3,,97.2,114.5,113.7
2018-01-01,80.6,83.0,,134.3,,99.3,111.2,101.8
2018-02-01,76.1,79.8,,136.9,,103.4,112.0,96.7
2018-03-01,77.6,80.8,,125.9,,101.8,140.2,117.5
2018-04-01,78.6,82.8,,122.0,,96.3,129.2,95.1
2018-05-01,80.6,87.2,,111.3,,99.2,131.5,104.3
2018-06-01,81.1,91.6,,131.5,,96.1,137.1,99.6
2018-07-01,77.1,92.7,,129.3,,94.5,130.0,88.5
2018-08-01,80.1,92.6,,126.3,,90.5,104.1,93.3
2018-09-01,84.1,96.3,,129.1,,88.7,96.6,91.0
2018-10-01,87.1,91.9,,128.1,,93.1,95.5,97.8
2018-11-01,85.6,89.3,,127.9,,93.1,105.0,143.7
2018-12-01,82.6,90.468,95.9,123.4,109.379,93.1,108.4,153.0
2019-01-01,82.6,84.9,96.1,118.0,109.4,96.7,111.8,117.2
2019-02-01,83.6,84.8,96.1,110.4,109.4,97.6,99.9,122.8
2019-03-01,87.6,86.4,95.4,114.2,109.4,100.7,101.3,144.4
2019-04-01,88.1,88.1,96.6,106.5,109.4,104.9,103.1,113.7
2019-05-01,89.6,91.0,96.5,98.5,109.4,102.0,102.7,104.5
2019-06-01,90.0,93.7,96.7,112.9,109.4,97.2,102.8,127.5
2019-07-01,93.0,92.9,96.4,120.7,109.4,94.9,91.9,121.9
2019-08-01,94.0,86.8,96.2,124.4,109.4,94.9,89.4,102.1
2019-09-01,96.0,94.0,96.6,128.8,109.4,86.0,83.2,99.5
2019-10-01,100.0,87.3,96.0,128.0,109.4,89.7,86.0,123.5
2019-11-01,105.5,82.2,96.9,127.0,109.4,92.9,95.1,144.5
2019-12-01,103.0,82.9,97.4,123.4,109.4,94.7,96.7,135.1
2020-01-01,97.0,80.4,100.8,113.0,109.4,98.5,99.4,189.5
2020-02-01,93.5,80.4,100.8,129.2,109.4,96.5,91.8,111.9
2020-03-01,88.6,79.4,100.2,127.4,109.4,92.8,112.2,128.7
2020-04-01,71.1,78.5,101.2,121.4,109.4,87.5,67.0,112.0
2020-05-01,67.7,80.9,101.1,121.5,109.4,91.4,79.3,109.4
2020-06-01,90.0,85.5,101.3,135.5,109.4,88.0,81.5,133.5
2020-07-01,102.0,87.0,101.0,146.2,109.4,79.9,79.6,118.9
2020-08-01,92.0,86.6,100.9,141.1,109.8,85.2,74.4,100.9
2020-09-01,87.6,92.9,101.2,142.2,109.8,87.8,73.7,123.8
2020-10-01,98.5,87.9,100.7,145.3,109.8,91.8,81.4,134.5
2020-11-01,104.5,84.4,101.4,145.1,109.8,91.1,91.2,151.5
2020-12-01,90.0,85.5,101.9,135.0,109.8,89.8,90.8,117.1
2021-01-01,85.1,86.7,104.4,125.6,109.7,91.7,93.6,121.2
2021-02-01,83.1,88.7,104.4,125.2,109.7,95.3,96.1,99.0
2021-03-01,86.1,88.8,103.9,120.1,109.7,99.8,101.1,104.8
2021-04-01,91.0,89.5,104.8,138.5,109.7,106.2,111.5,93.3
2021-05-01,95.0,97.6,104.7,123.1,109.7,106.8,118.0,93.8
2021-06-01,90.5,103.0,104.8,127.8,109.7,109.9,119.2,103.6
2021-07-01,88.6,103.3,104.6,129.9,109.7,109.7,119.3,104.1
2021-08-01,87.6,106.0,104.5,134.2,109.7,110.2,124.2,99.6
2021-09-01,91.0,111.5,104.8,133.4,109.7,108.3,125.8,123.3
2021-10-01,97.5,109.2,104.3,134.6,109.7,106.2,120.2,193.5
2021-11-01,103.0,105.7,105.0,135.6,109.7,106.9,124.4,174.5
2021-12-01,108.0,106.5,105.4,133.0,109.7,110.1,151.1,120.8
2022-01-01,118.9,109.4,115.8,135.8,109.7,111.1,158.9,130.9
2022-02-01,121.9,110.9,115.8,135.8,109.7,116.2,153.0,130.2
2022-03-01,127.4,113.3,115.4,125.8,109.7,119.6,176.9,173.2
2022-04-01,134.3,114.7,116.0,135.3,109.7,120.0,215.7,127.3
2022-05-01,135.3,120.0,116.0,132.3,109.7,121.1,213.3,126.8
2022-06-01,132.8,126.4,116.1,140.3,109.7,121.3,211.9,127.0
2022-07-01,126.9,129.5,115.9,141.9,109.7,124.1,217.4,136.1
2022-08-01,119.9,128.2,115.9,151.5,110.0,124.7,176.0,141.9
2022-09-01,119.9,134.7,116.0,151.1,110.0,122.0,189.2,160.2
2022-10-01,127.4,126.5,115.7,153.9,110.0,122.6,192.2,239.2
2022-11-01,126.4,114.4,116.2,151.5,110.0,124.7,209.5,304.3
2022-12-01,121.9,114.2,116.5,146.3,110.0,123.8,241.7,300.7
2023-01-01,113.9,111.3,121.2,150.6,109.9,122.2,186.4,171.4
2023-02-01,106.5,113.1,121.2,138.9,109.9,124.3,177.8,155.4
2023-03-01,104.5,116.7,120.7,132.8,109.9,129.3,190.7,148.0
2023-04-01,102.5,121.6,121.6,139.9,109.9,131.9,175.8,207.6
2023-05-01,95.0,125.6,121.5,130.9,109.9,135.0,166.4,160.8
2023-06-01,88.6,131.8,121.7,143.9,109.9,142.1,163.3,164.6
2023-07-01,86.1,126.8,121.4,154.8,109.9,146.2,141.3,159.2
2023-08-01,97.5,115.0,121.3,166.1,110.3,147.6,132.4,141.3
2023-09-01,104.0,122.6,121.6,167.7,110.3,142.4,135.4,133.0
2023-10-01,107.0,114.3,121.1,165.5,110.3,142.7,131.0,130.6
2023-11-01,107.5,101.8,121.8,161.1,110.3,139.5,143.4,143.9
2023-12-01,101.5,102.9,122.2,138.5,110.3,129.8,153.4,144.2
2024-01-01,100.0,102.5,116.4,127.4,110.3,131.2,170.8,163.1
2024-02-01,102.5,105.0,116.4,128.3,110.3,137.3,177.8,192.6
2024-03-01,103.0,107.6,116.0,115.9,110.3,144.5,176.8,192.8
2024-04-01,102.0,106.8,116.8,117.7,110.3,146.1,169.0,174.5
2024-05-01,109.5,110.2,116.7,118.6,110.3,147.8,161.1,162.9
2024-06-01,113.4,109.2,116.8,147.6,110.3,149.3,171.8,198.0
2024-07-01,113.4,106.4,116.6,160.9,110.3,151.4,180.3,154.2
2024-08-01,117.4,94.2,116.5,168.6,110.7,149.9,200.2,143.0
