item,Item Price,date
"Chicken, fresh, whole, per lb. (453.6 gm)",1.523,2018-05-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.511,2018-04-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.502,2018-03-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.478,2018-02-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.509,2018-01-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.47,2017-12-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.451,2017-11-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.484,2017-10-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.48,2017-09-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.489,2017-08-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.496,2017-07-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.497,2017-06-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.499,2017-05-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.444,2017-04-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.462,2017-03-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.473,2017-02-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.418,2017-01-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.463,2016-12-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.478,2016-11-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.502,2016-10-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.487,2016-09-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.426,2016-08-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.445,2016-07-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.408,2016-06-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.489,2016-05-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.496,2016-04-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.463,2016-03-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.478,2016-02-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.429,2016-01-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.437,2015-12-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.484,2015-11-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.43,2015-10-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.415,2015-09-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.428,2015-08-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.487,2015-07-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.515,2015-06-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.483,2015-05-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.539,2015-04-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.545,2015-03-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.55,2015-02-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.546,2015-01-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.541,2014-12-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.533,2014-11-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.549,2014-10-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.543,2014-09-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.572,2014-08-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.495,2014-07-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.503,2014-06-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.556,2014-05-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.53,2014-04-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.544,2014-03-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.504,2014-02-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.529,2014-01-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.52,2013-12-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.518,2013-11-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.543,2013-10-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.528,2013-09-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.489,2013-08-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.484,2013-07-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.509,2013-06-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.466,2013-05-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.473,2013-04-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.471,2013-03-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.456,2013-02-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.497,2013-01-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.482,2012-12-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.512,2012-11-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.53,2012-10-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.455,2012-09-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.433,2012-08-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.454,2012-07-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.39,2012-06-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.347,2012-05-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.401,2012-04-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.372,2012-03-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.356,2012-02-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.334,2012-01-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.34,2011-12-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.304,2011-11-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.312,2011-10-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.294,2011-09-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.296,2011-08-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.306,2011-07-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.305,2011-06-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.302,2011-05-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.261,2011-04-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.269,2011-03-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.266,2011-02-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.241,2011-01-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.28,2010-12-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.277,2010-11-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.302,2010-10-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.276,2010-09-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.254,2010-08-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.28,2010-07-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.239,2010-06-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.259,2010-05-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.23,2010-04-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.231,2010-03-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.265,2010-02-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.265,2010-01-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.267,2009-12-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.256,2009-11-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.244,2009-10-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.258,2009-09-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.287,2009-08-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.261,2009-07-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.282,2009-06-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.304,2009-05-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.296,2009-04-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.301,2009-03-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.29,2009-02-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.292,2009-01-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.305,2008-12-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.304,2008-11-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.205,2008-10-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.214,2008-09-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.223,2008-08-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.191,2008-07-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.181,2008-06-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.194,2008-05-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.176,2008-04-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.168,2008-03-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.159,2008-02-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.163,2008-01-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.166,2007-12-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.161,2007-11-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.135,2007-10-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.142,2007-09-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.145,2007-08-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.13,2007-07-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.134,2007-06-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.118,2007-05-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.115,2007-04-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.064,2007-03-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.039,2007-02-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.033,2007-01-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.057,2006-12-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.049,2006-11-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.038,2006-10-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.063,2006-09-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.048,2006-08-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.04,2006-07-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.055,2006-06-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.034,2006-05-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.054,2006-04-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.047,2006-03-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.045,2006-02-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.062,2006-01-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.061,2005-12-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.059,2005-11-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.062,2005-10-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.056,2005-09-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.042,2005-08-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.067,2005-07-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.075,2005-06-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.052,2005-05-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.07,2005-04-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.061,2005-03-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.038,2005-02-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.026,2005-01-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.385,2011-10-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.2,2011-09-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.3,2011-08-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.206,2011-07-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.307,2011-06-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.123,2011-05-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.255,2011-04-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.327,2011-03-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.285,2011-02-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.375,2011-01-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.355,2010-12-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.417,2010-11-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.391,2010-10-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.308,2010-09-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.281,2010-08-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.322,2010-07-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.309,2010-06-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.346,2010-05-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.149,2010-04-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.252,2010-03-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.23,2010-02-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.277,2010-01-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.294,2009-12-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.266,2009-11-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.25,2009-10-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.366,2009-09-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.319,2009-08-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.274,2009-07-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.354,2009-06-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.445,2009-05-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.376,2009-04-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.151,2009-03-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.357,2009-02-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.457,2009-01-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.317,2008-12-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.374,2008-11-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.282,2008-10-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.304,2008-09-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.321,2008-08-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.392,2008-07-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.424,2008-06-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.392,2008-05-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.414,2008-04-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.377,2008-03-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.364,2008-02-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.321,2008-01-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.31,2007-12-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.287,2007-11-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.285,2007-10-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.253,2007-09-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.339,2007-08-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.379,2007-07-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.251,2007-06-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.312,2007-05-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.322,2007-04-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.242,2007-03-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.268,2007-02-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.135,2007-01-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.174,2006-12-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.218,2006-11-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.148,2006-10-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.094,2006-09-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.188,2006-08-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.134,2006-07-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.057,2006-06-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.053,2006-05-01
"Chicken breast, bone-in, per lb. (453.6 gm)",2.068,2006-02-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.835,2024-08-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.786,2024-07-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.771,2024-06-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.833,2024-05-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.815,2024-04-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.821,2024-03-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.752,2024-02-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.825,2024-01-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.856,2023-12-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.851,2023-11-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.917,2023-10-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.899,2023-09-01
"Chicken legs, bone-in, per lb. (453.6 gm)",2.031,2023-08-01
"Chicken legs, bone-in, per lb. (453.6 gm)",2.025,2023-07-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.998,2023-06-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.919,2023-05-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.935,2023-04-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.858,2023-03-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.843,2023-02-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.869,2023-01-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.945,2022-12-01
"Chicken legs, bone-in, per lb. (453.6 gm)",2.024,2022-11-01
"Chicken legs, bone-in, per lb. (453.6 gm)",2.013,2022-10-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.975,2022-09-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.993,2022-08-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.835,2022-07-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.882,2022-06-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.861,2022-05-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.886,2022-04-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.834,2022-03-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.797,2022-02-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.731,2022-01-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.729,2021-12-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.733,2021-11-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.709,2021-10-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.723,2021-09-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.706,2021-08-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.615,2021-07-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.611,2021-06-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.593,2021-05-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.579,2021-04-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.569,2021-03-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.553,2021-02-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.6,2021-01-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.543,2020-12-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.55,2020-11-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.551,2020-10-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.557,2020-09-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.568,2020-08-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.579,2020-07-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.602,2020-06-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.581,2020-05-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.598,2020-04-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.538,2020-03-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.479,2020-02-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.451,2020-01-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.505,2019-12-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.488,2019-11-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.429,2019-10-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.425,2019-09-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.414,2019-08-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.412,2019-07-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.415,2019-06-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.442,2019-05-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.435,2019-04-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.392,2019-03-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.417,2019-02-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.381,2019-01-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.404,2018-12-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.385,2018-11-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.46,2018-10-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.426,2018-09-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.439,2018-08-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.431,2018-07-01
"Chicken legs, bone-in, per lb. (453.6 gm)",1.427,2018-06-01
